dfbl_id_key,dt_batch_start,dt_batch_end,dt_probe_from,dt_probe_to,int_batch_status,chv_job_name
462,00:05.1,17:26.5,00:00.0,00:05.1,0,JB_BMS_DAILY
464,42:01.0,07:10.5,00:06.1,42:01.0,0,JB_BMS_DAILY
467,52:35.0,11:05.5,00:00.0,59:59.0,0,JB_TAM_WEEKLY
468,43:12.5,43:17.7,00:00.0,43:12.5,0,JB_TAM_WEEKLY
470,00:05.3,18:45.8,00:00.0,00:05.3,0,JB_BMS_DAILY
471,32:20.7,46:34.1,43:13.5,59:59.0,0,JB_TAM_WEEKLY
473,00:05.3,19:02.9,00:00.0,00:05.3,0,JB_BMS_DAILY
474,48:05.2,48:08.7,06:29.7,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
475,13:41.3,13:45.3,00:00.0,13:41.3,0,JB_MONTHLY_BUDGET_REVENUE
477,00:50.2,18:18.3,00:00.0,59:59.0,0,JB_BMS_DAILY
479,00:05.4,18:30.1,00:00.0,00:05.4,0,JB_BMS_DAILY
481,00:05.4,18:02.1,00:00.0,00:05.4,0,JB_BMS_DAILY
482,00:49.6,20:25.1,00:06.4,59:59.0,0,JB_BMS_DAILY
483,00:04.9,18:16.1,00:00.0,00:04.9,0,JB_BMS_DAILY
486,22:03.5,36:03.4,00:00.0,59:59.0,0,JB_TAM_WEEKLY
490,00:33.7,18:54.9,00:00.0,59:59.0,0,JB_BMS_DAILY
491,00:23.4,18:07.3,00:00.0,59:59.0,0,JB_BMS_DAILY
493,00:54.2,19:19.3,00:05.9,59:59.0,0,JB_BMS_DAILY
496,00:04.2,19:28.3,00:00.0,00:04.2,0,JB_BMS_DAILY
497,00:19.8,21:04.2,00:05.2,59:59.0,0,JB_BMS_DAILY
499,20:08.7,33:29.6,00:00.0,59:59.0,0,JB_TAM_WEEKLY
500,00:36.6,22:13.8,00:05.6,59:59.0,0,JB_BMS_DAILY
501,00:04.8,19:18.1,00:00.0,00:04.8,0,JB_BMS_DAILY
506,53:21.4,39:21.0,00:00.0,59:59.0,0,JB_TAM_WEEKLY
507,00:49.5,22:00.7,00:08.9,59:59.0,0,JB_BMS_DAILY
508,00:04.9,20:01.6,00:00.0,00:04.9,0,JB_BMS_DAILY
509,00:27.3,21:15.3,00:05.9,59:59.0,0,JB_BMS_DAILY
510,00:04.7,18:54.7,00:00.0,00:04.7,0,JB_BMS_DAILY
511,00:19.0,21:12.0,00:05.7,59:59.0,0,JB_BMS_DAILY
514,00:04.8,19:39.0,00:00.0,00:04.8,0,JB_BMS_DAILY
515,00:18.4,22:13.2,00:05.8,59:59.0,0,JB_BMS_DAILY
516,00:32.9,19:02.8,00:00.0,59:59.0,0,JB_BMS_DAILY
517,00:18.9,18:30.9,00:00.0,59:59.0,0,JB_BMS_DAILY
518,00:05.4,18:48.5,00:00.0,00:05.4,0,JB_BMS_DAILY
519,00:14.8,18:34.8,00:06.4,59:59.0,0,JB_BMS_DAILY
524,00:04.9,19:25.4,00:00.0,00:04.9,0,JB_BMS_DAILY
525,52:26.9,52:30.2,13:42.3,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
528,06:20.6,06:23.5,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
534,04:44.4,04:47.2,25:48.2,04:44.4,0,JB_MONTHLY_BUDGET_REVENUE
535,06:47.6,06:50.5,04:45.4,06:47.6,0,JB_MONTHLY_BUDGET_REVENUE
536,24:45.0,24:48.0,06:48.6,24:45.0,0,JB_MONTHLY_BUDGET_REVENUE
537,25:31.8,25:34.7,24:46.0,25:31.8,0,JB_MONTHLY_BUDGET_REVENUE
538,27:40.9,27:43.5,25:32.8,27:40.9,0,JB_MONTHLY_BUDGET_REVENUE
539,28:16.1,28:19.0,27:41.9,28:16.1,0,JB_MONTHLY_BUDGET_REVENUE
540,25:30.6,25:33.5,28:17.1,25:30.6,0,JB_MONTHLY_BUDGET_REVENUE
541,30:01.7,30:04.4,25:31.6,30:01.7,0,JB_MONTHLY_BUDGET_REVENUE
543,00:37.9,18:51.5,00:00.0,59:59.0,0,JB_BMS_DAILY
544,00:15.3,18:15.1,00:00.0,59:59.0,0,JB_BMS_DAILY
545,00:07.5,19:05.3,00:00.0,00:07.5,0,JB_BMS_DAILY
546,00:16.7,20:06.2,00:08.5,59:59.0,0,JB_BMS_DAILY
547,00:04.7,18:53.5,00:00.0,00:04.7,0,JB_BMS_DAILY
548,00:47.8,21:15.8,00:05.7,59:59.0,0,JB_BMS_DAILY
550,00:17.9,17:55.4,00:05.4,59:59.0,0,JB_BMS_DAILY
553,00:04.9,19:47.7,00:00.0,00:04.9,0,JB_BMS_DAILY
554,41:59.9,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
560,00:36.3,20:25.4,00:06.7,59:59.0,0,JB_BMS_DAILY
561,00:05.2,18:42.2,00:00.0,00:05.2,0,JB_BMS_DAILY
564,00:21.8,18:39.2,00:06.2,59:59.0,0,JB_BMS_DAILY
565,00:04.8,19:20.0,00:00.0,00:04.8,0,JB_BMS_DAILY
567,40:07.0,40:10.1,30:02.7,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
18,42:27.8,NULL,01:28.7,42:27.8,-1,JB_TAM_WEEKLY
25,54:42.9,28:56.4,01:28.7,59:59.0,0,JB_TAM_WEEKLY
34,31:36.9,52:14.2,00:00.0,31:36.9,0,JB_TAM_WEEKLY
40,00:29.8,00:32.4,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
63,35:06.6,01:38.0,09:07.0,35:06.6,0,JB_TAM_WEEKLY
66,02:45.0,02:47.9,23:36.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
135,52:29.2,32:43.1,28:30.5,59:59.0,0,JB_TAM_WEEKLY
153,28:29.1,55:22.6,59:03.1,59:59.0,0,JB_TAM_WEEKLY
223,01:00.9,18:10.9,00:00.0,59:59.0,0,JB_BMS_DAILY
242,11:17.6,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
252,00:27.0,17:38.4,59:50.9,59:59.0,0,JB_BMS_DAILY
278,00:31.0,17:35.2,00:00.0,59:59.0,0,JB_BMS_DAILY
292,00:42.7,18:08.0,00:00.0,59:59.0,0,JB_BMS_DAILY
293,01:08.2,17:57.1,00:00.0,59:59.0,0,JB_BMS_DAILY
296,00:51.0,17:29.6,00:00.0,59:59.0,0,JB_BMS_DAILY
310,20:02.5,33:28.5,00:00.0,59:59.0,0,JB_TAM_WEEKLY
345,01:02.5,19:25.0,00:00.0,59:59.0,0,JB_BMS_DAILY
361,33:20.8,48:01.9,00:00.0,59:59.0,0,JB_TAM_WEEKLY
393,00:59.9,19:56.5,00:00.0,59:59.0,0,JB_BMS_DAILY
398,00:21.7,17:30.4,00:08.6,59:59.0,0,JB_BMS_DAILY
427,00:04.8,16:50.6,00:00.0,00:04.8,0,JB_BMS_DAILY
449,00:07.9,17:39.7,00:00.0,00:07.9,0,JB_BMS_DAILY
459,00:57.8,18:27.5,00:00.0,59:59.0,0,JB_BMS_DAILY
469,00:38.8,19:59.5,00:05.7,59:59.0,0,JB_BMS_DAILY
476,00:38.8,19:58.1,00:06.3,59:59.0,0,JB_BMS_DAILY
502,01:03.3,23:14.7,00:05.8,59:59.0,0,JB_BMS_DAILY
571,00:50.6,19:41.0,00:00.0,59:59.0,0,JB_BMS_DAILY
573,00:04.3,19:25.6,00:00.0,00:04.3,0,JB_BMS_DAILY
574,00:16.5,21:11.5,00:05.3,59:59.0,0,JB_BMS_DAILY
575,00:04.6,19:09.0,00:00.0,00:04.6,0,JB_BMS_DAILY
579,00:19.7,21:12.7,00:05.8,59:59.0,0,JB_BMS_DAILY
580,00:04.8,18:51.5,00:00.0,00:04.8,0,JB_BMS_DAILY
581,43:50.1,26:09.1,00:00.0,59:59.0,0,JB_TAM_WEEKLY
582,00:52.0,21:02.2,00:05.8,59:59.0,0,JB_BMS_DAILY
584,00:21.6,23:32.5,00:07.9,59:59.0,0,JB_BMS_DAILY
586,00:18.0,18:24.4,00:00.0,59:59.0,0,JB_BMS_DAILY
588,00:38.7,20:57.8,00:06.8,59:59.0,0,JB_BMS_DAILY
589,00:04.7,18:53.5,00:00.0,00:04.7,0,JB_BMS_DAILY
593,00:57.1,19:28.8,00:00.0,59:59.0,0,JB_BMS_DAILY
595,04:25.1,25:15.3,00:00.0,59:59.0,0,JB_BMS_DAILY
597,00:31.9,18:48.0,42:11.0,59:59.0,0,JB_BMS_DAILY
598,01:10.0,19:26.4,00:00.0,59:59.0,0,JB_BMS_DAILY
599,22:08.6,NULL,00:00.0,22:08.6,-1,JB_BMS_DAILY
600,44:53.7,06:01.5,00:00.0,44:53.7,0,JB_BMS_DAILY
601,01:06.7,20:31.5,44:54.7,59:59.0,0,JB_BMS_DAILY
604,00:26.8,21:02.8,00:00.0,59:59.0,0,JB_BMS_DAILY
605,00:19.7,19:36.3,00:00.0,59:59.0,0,JB_BMS_DAILY
607,00:48.7,20:16.6,00:00.0,59:59.0,0,JB_BMS_DAILY
609,00:09.1,19:23.8,00:00.0,59:59.0,0,JB_BMS_DAILY
611,00:23.2,19:01.1,00:00.0,00:23.2,0,JB_BMS_DAILY
616,00:19.1,20:38.7,00:00.0,59:59.0,0,JB_BMS_DAILY
618,00:40.4,20:55.4,00:00.0,59:59.0,0,JB_BMS_DAILY
620,00:18.1,21:34.7,00:00.0,59:59.0,0,JB_BMS_DAILY
621,39:49.8,36:04.7,00:00.0,59:59.0,0,JB_TAM_WEEKLY
622,00:23.0,23:24.7,00:00.0,59:59.0,0,JB_BMS_DAILY
624,00:17.1,20:50.6,00:00.0,59:59.0,0,JB_BMS_DAILY
627,00:17.8,20:41.5,00:00.0,59:59.0,0,JB_BMS_DAILY
629,00:16.1,20:19.2,40:03.3,59:59.0,0,JB_BMS_DAILY
630,00:24.9,20:38.2,00:00.0,59:59.0,0,JB_BMS_DAILY
631,53:51.6,49:39.5,00:00.0,59:59.0,0,JB_TAM_WEEKLY
632,46:20.3,09:13.2,00:00.0,46:20.3,0,JB_BMS_DAILY
634,00:14.1,21:38.3,00:00.0,59:59.0,0,JB_BMS_DAILY
638,00:33.3,20:20.5,00:00.0,59:59.0,0,JB_BMS_DAILY
640,00:28.9,22:39.6,00:00.0,59:59.0,0,JB_BMS_DAILY
642,00:34.1,13:24.8,00:00.0,59:59.0,0,JB_BMS_DAILY
646,00:18.9,20:52.0,00:00.0,59:59.0,0,JB_BMS_DAILY
648,00:19.8,24:17.0,00:00.0,59:59.0,0,JB_BMS_DAILY
652,00:26.3,24:17.5,00:00.0,59:59.0,0,JB_BMS_DAILY
654,00:51.8,22:56.0,00:00.0,59:59.0,0,JB_BMS_DAILY
655,00:44.1,23:06.8,00:00.0,59:59.0,0,JB_BMS_DAILY
656,00:44.0,23:10.4,00:00.0,59:59.0,0,JB_BMS_DAILY
657,41:37.7,37:36.1,00:00.0,59:59.0,0,JB_TAM_WEEKLY
658,00:27.7,29:36.7,00:00.0,59:59.0,0,JB_BMS_DAILY
663,00:52.3,23:51.9,00:00.0,59:59.0,0,JB_BMS_DAILY
665,00:19.5,26:06.9,00:00.0,59:59.0,0,JB_BMS_DAILY
666,00:51.6,25:33.9,00:00.0,59:59.0,0,JB_BMS_DAILY
671,00:53.3,23:52.3,00:00.0,59:59.0,0,JB_BMS_DAILY
672,26:29.3,26:47.8,00:00.0,59:59.0,0,JB_TAM_WEEKLY
673,00:28.1,26:11.0,00:00.0,59:59.0,0,JB_BMS_DAILY
675,00:15.9,22:58.9,00:00.0,59:59.0,0,JB_BMS_DAILY
676,00:55.6,22:53.1,00:00.0,59:59.0,0,JB_BMS_DAILY
677,01:00.3,25:24.9,00:00.0,59:59.0,0,JB_BMS_DAILY
680,29:28.3,27:38.2,00:00.0,59:59.0,0,JB_TAM_WEEKLY
683,00:43.2,22:53.4,00:00.0,59:59.0,0,JB_BMS_DAILY
690,00:36.7,26:23.9,00:00.0,59:59.0,0,JB_BMS_DAILY
693,15:34.9,15:38.9,56:19.5,15:34.9,0,JB_BMS_DAILY
697,32:18.7,33:09.2,23:16.8,32:18.7,0,JB_BMS_DAILY
699,00:18.6,24:41.9,00:00.0,59:59.0,0,JB_BMS_DAILY
700,00:38.7,24:16.8,00:00.0,59:59.0,0,JB_BMS_DAILY
701,00:22.7,24:00.1,00:00.0,59:59.0,0,JB_BMS_DAILY
703,00:23.3,24:03.6,41:35.1,59:59.0,0,JB_BMS_DAILY
705,56:12.2,56:15.3,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
707,46:26.2,42:12.4,00:00.0,59:59.0,0,JB_TAM_WEEKLY
708,00:17.8,26:05.4,00:00.0,59:59.0,0,JB_BMS_DAILY
710,00:52.7,24:12.6,00:00.0,59:59.0,0,JB_BMS_DAILY
711,00:36.1,24:41.5,00:00.0,59:59.0,0,JB_BMS_DAILY
713,00:18.7,23:48.2,41:27.1,59:59.0,0,JB_BMS_DAILY
716,58:10.1,58:13.0,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
717,00:22.8,00:29.0,36:07.9,00:22.8,0,JB_BMS_DAILY
718,00:24.6,24:07.5,00:23.8,59:59.0,0,JB_BMS_DAILY
723,00:42.4,23:59.3,00:00.0,59:59.0,0,JB_BMS_DAILY
724,00:39.9,23:09.9,00:00.0,59:59.0,0,JB_BMS_DAILY
725,00:44.4,23:54.7,00:00.0,59:59.0,0,JB_BMS_DAILY
726,00:45.2,26:05.0,00:00.0,59:59.0,0,JB_BMS_DAILY
727,28:06.4,24:35.4,00:00.0,59:59.0,0,JB_TAM_WEEKLY
729,00:33.5,24:20.8,00:00.0,59:59.0,0,JB_BMS_DAILY
730,00:51.5,25:49.5,00:00.0,59:59.0,0,JB_BMS_DAILY
734,51:00.0,21:13.8,00:00.0,59:59.0,0,JB_BMS_DAILY
746,30:11.7,00:35.4,00:00.0,59:59.0,0,JB_BMS_DAILY
765,35:57.3,04:41.4,00:00.0,59:59.0,0,JB_BMS_DAILY
826,30:09.1,02:14.6,00:00.0,59:59.0,0,JB_BMS_DAILY
831,23:02.0,23:07.1,12:55.3,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
832,40:38.2,40:43.9,00:00.0,40:38.2,0,JB_MONTHLY_BUDGET_REVENUE
846,30:09.0,01:17.2,00:00.0,59:59.0,0,JB_BMS_DAILY
847,56:53.9,09:56.4,30:36.3,59:59.0,0,JB_TAM_WEEKLY
857,04:16.1,33:21.8,00:12.6,59:59.0,0,JB_BMS_DAILY
860,30:06.5,NULL,00:00.0,30:06.5,-1,JB_BMS_DAILY
26,30:08.5,NULL,00:00.0,30:08.5,-1,JB_TAM_WEEKLY
41,15:07.0,15:09.9,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_GRP
64,18:19.0,48:48.2,35:07.6,18:19.0,0,JB_TAM_WEEKLY
84,11:24.8,39:18.8,40:54.6,11:24.8,0,JB_TAM_WEEKLY
85,10:52.9,30:50.6,11:25.8,10:52.9,0,JB_TAM_WEEKLY
97,22:02.6,46:20.8,00:00.0,22:02.6,0,JB_TAM_WEEKLY
120,14:03.9,56:15.8,40:55.9,14:03.9,0,JB_TAM_WEEKLY
143,47:16.9,53:56.4,00:00.0,47:16.9,0,JB_BMS_DAILY
145,25:47.3,53:51.7,33:22.2,59:59.0,0,JB_TAM_WEEKLY
194,00:40.1,18:24.7,00:00.0,59:59.0,0,JB_BMS_DAILY
195,00:58.6,18:33.5,00:00.0,59:59.0,0,JB_BMS_DAILY
202,00:28.7,18:35.3,00:00.0,59:59.0,0,JB_BMS_DAILY
207,34:19.0,NULL,06:11.1,59:59.0,-1,JB_TAM_WEEKLY
213,43:46.7,NULL,06:11.1,59:59.0,-1,JB_TAM_WEEKLY
226,00:38.8,17:13.5,00:00.0,59:59.0,0,JB_BMS_DAILY
237,00:26.0,19:03.5,00:00.0,59:59.0,0,JB_BMS_DAILY
246,00:53.4,18:49.5,00:00.0,59:59.0,0,JB_BMS_DAILY
301,01:00.0,18:02.5,00:00.0,59:59.0,0,JB_BMS_DAILY
307,00:36.0,18:56.1,00:00.0,59:59.0,0,JB_BMS_DAILY
312,00:45.9,18:36.2,00:00.0,59:59.0,0,JB_BMS_DAILY
315,00:42.2,19:35.4,00:00.0,59:59.0,0,JB_BMS_DAILY
332,00:40.2,17:43.8,00:00.0,59:59.0,0,JB_BMS_DAILY
340,00:49.4,18:25.8,00:00.0,59:59.0,0,JB_BMS_DAILY
353,42:49.3,54:19.7,00:00.0,59:59.0,0,JB_TAM_WEEKLY
373,00:42.6,18:24.1,00:00.0,59:59.0,0,JB_BMS_DAILY
376,50:04.0,07:46.7,00:00.0,50:04.0,0,JB_BMS_DAILY
404,00:05.9,17:24.4,00:00.0,00:05.9,0,JB_BMS_DAILY
405,00:40.9,19:15.0,00:06.9,59:59.0,0,JB_BMS_DAILY
410,00:05.2,17:21.0,00:00.0,00:05.2,0,JB_BMS_DAILY
412,00:05.9,17:11.7,00:00.0,00:05.9,0,JB_BMS_DAILY
420,00:13.1,17:13.8,00:00.0,59:59.0,0,JB_BMS_DAILY
447,00:05.7,17:36.0,00:00.0,00:05.7,0,JB_BMS_DAILY
461,00:50.8,20:04.0,00:06.6,59:59.0,0,JB_BMS_DAILY
485,00:08.4,19:31.5,00:00.0,00:08.4,0,JB_BMS_DAILY
495,01:09.2,20:01.0,00:06.0,59:59.0,0,JB_BMS_DAILY
504,01:01.8,19:01.3,00:00.0,59:59.0,0,JB_BMS_DAILY
521,00:46.3,18:56.1,00:05.5,59:59.0,0,JB_BMS_DAILY
549,00:04.4,18:19.3,00:00.0,00:04.4,0,JB_BMS_DAILY
563,00:05.2,18:51.2,00:00.0,00:05.2,0,JB_BMS_DAILY
585,00:19.3,19:04.1,00:00.0,59:59.0,0,JB_BMS_DAILY
587,00:05.8,19:08.0,00:00.0,00:05.8,0,JB_BMS_DAILY
590,00:54.5,22:43.7,00:05.7,00:54.5,0,JB_BMS_DAILY
602,41:39.1,08:45.1,00:00.0,59:59.0,0,JB_TAM_WEEKLY
603,00:20.9,19:56.0,00:00.0,59:59.0,0,JB_BMS_DAILY
637,00:17.1,20:26.8,00:00.0,59:59.0,0,JB_BMS_DAILY
669,00:37.1,22:35.0,00:00.0,59:59.0,0,JB_BMS_DAILY
698,00:24.6,24:28.9,32:19.7,59:59.0,0,JB_BMS_DAILY
720,00:55.6,24:53.8,00:00.0,59:59.0,0,JB_BMS_DAILY
732,00:41.5,22:05.0,00:00.0,59:59.0,0,JB_BMS_DAILY
741,34:49.8,40:15.4,00:00.0,59:59.0,0,JB_TAM_WEEKLY
743,25:31.2,25:35.7,43:29.6,25:31.2,0,JB_BMS_DAILY
751,30:09.5,01:06.5,00:00.0,59:59.0,0,JB_BMS_DAILY
752,31:55.6,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
756,30:08.3,00:44.0,00:00.0,59:59.0,0,JB_BMS_DAILY
779,21:09.1,21:13.4,07:33.8,21:09.1,0,JB_BMS_DAILY
786,51:52.1,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
813,40:49.1,34:41.5,23:20.5,40:49.1,0,JB_TAM_WEEKLY
821,30:08.6,02:59.0,00:00.0,59:59.0,0,JB_BMS_DAILY
830,06:21.8,34:27.8,00:00.0,59:59.0,0,JB_BMS_DAILY
833,30:08.0,03:13.5,00:00.0,59:59.0,0,JB_BMS_DAILY
835,36:31.7,33:45.0,00:00.0,59:59.0,0,JB_TAM_WEEKLY
855,36:46.2,05:05.5,09:48.6,59:59.0,0,JB_BMS_DAILY
866,30:06.6,58:26.4,00:00.0,30:06.6,0,JB_BMS_DAILY
869,30:06.4,00:40.1,00:00.0,59:59.0,0,JB_BMS_DAILY
873,30:07.5,NULL,30:07.8,59:59.0,-1,JB_BMS_DAILY
874,30:06.5,NULL,30:07.8,59:59.0,-1,JB_BMS_DAILY
876,30:06.8,NULL,30:07.8,59:59.0,-1,JB_BMS_DAILY
878,36:17.2,42:57.7,30:49.6,59:59.0,0,JB_TAM_WEEKLY
880,49:46.0,02:51.2,00:00.0,49:46.0,0,JB_TAM_WEEKLY
881,09:06.5,16:03.8,49:47.0,09:06.5,0,JB_TAM_WEEKLY
882,30:07.6,00:14.4,00:00.0,59:59.0,0,JB_BMS_DAILY
885,23:25.4,23:31.7,09:59.6,23:25.4,0,JB_BMS_DAILY
886,30:49.8,30:56.3,23:26.4,30:49.8,0,JB_BMS_DAILY
889,57:07.4,57:13.1,45:12.0,57:07.4,0,JB_BMS_DAILY
893,30:05.6,57:21.3,00:00.0,30:05.6,0,JB_BMS_DAILY
895,30:07.1,01:59.2,20:09.9,59:59.0,0,JB_BMS_DAILY
896,30:05.6,57:43.6,00:00.0,30:05.6,0,JB_BMS_DAILY
899,30:06.8,59:34.8,30:07.4,59:59.0,0,JB_BMS_DAILY
902,30:09.0,59:32.8,30:08.0,59:59.0,0,JB_BMS_DAILY
904,30:08.2,58:50.5,30:07.9,59:59.0,0,JB_BMS_DAILY
912,30:07.0,56:47.6,00:00.0,30:07.0,0,JB_BMS_DAILY
919,11:52.0,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
924,30:07.8,01:04.3,01:05.7,59:59.0,0,JB_BMS_DAILY
925,30:06.8,00:40.6,00:00.0,59:59.0,0,JB_BMS_DAILY
926,30:05.9,00:24.1,00:00.0,59:59.0,0,JB_BMS_DAILY
928,30:09.1,01:08.0,30:07.5,59:59.0,0,JB_BMS_DAILY
930,30:08.5,00:59.0,30:07.2,59:59.0,0,JB_BMS_DAILY
932,17:11.0,19:03.6,30:07.8,17:11.0,0,JB_BMS_DAILY
935,17:39.8,38:32.4,00:00.0,59:59.0,0,JB_TAM_WEEKLY
944,30:04.7,53:59.1,00:00.0,30:04.7,0,JB_BMS_DAILY
945,30:06.9,56:48.6,30:05.7,59:59.0,0,JB_BMS_DAILY
948,30:05.2,54:41.0,00:00.0,30:05.2,0,JB_BMS_DAILY
953,30:05.5,53:06.5,00:00.0,59:59.0,0,JB_BMS_DAILY
955,30:05.1,51:15.8,00:00.0,30:05.1,0,JB_BMS_DAILY
956,30:05.1,54:14.0,30:06.1,59:59.0,0,JB_BMS_DAILY
960,30:05.0,53:59.2,30:06.2,59:59.0,0,JB_BMS_DAILY
961,30:05.0,52:52.0,00:00.0,30:05.0,0,JB_BMS_DAILY
963,30:04.9,53:47.3,00:00.0,30:04.9,0,JB_BMS_DAILY
965,30:05.0,54:55.9,30:05.9,59:59.0,0,JB_BMS_DAILY
966,44:04.1,08:35.5,00:00.0,59:59.0,0,JB_BMS_DAILY
967,30:05.4,56:08.7,00:00.0,59:59.0,0,JB_BMS_DAILY
968,30:05.0,52:28.8,00:00.0,30:05.0,0,JB_BMS_DAILY
969,30:05.7,55:04.5,30:06.0,59:59.0,0,JB_BMS_DAILY
976,30:05.2,53:59.5,30:06.0,59:59.0,0,JB_BMS_DAILY
977,30:05.1,53:20.9,00:00.0,59:59.0,0,JB_BMS_DAILY
978,30:05.0,55:05.9,00:00.0,59:59.0,0,JB_BMS_DAILY
981,30:04.9,55:00.2,00:00.0,30:04.9,0,JB_BMS_DAILY
982,30:05.4,55:25.0,30:05.8,59:59.0,0,JB_BMS_DAILY
983,30:05.1,53:19.4,00:00.0,30:05.1,0,JB_BMS_DAILY
987,30:05.3,56:02.2,30:06.1,59:59.0,0,JB_BMS_DAILY
989,49:57.0,59:22.0,00:00.0,59:59.0,0,JB_TAM_WEEKLY
