NUM_DATE_KEY,NUM_CHANNEL_KEY,CHV_CHANNEL_NAME,CHV_CLASSIFICATION,NUM_YEARLY_BUDGET,NUM_LIKELY_BUDGET,DT_LOADING_DATE,NUM_DFBL_ID_KEY
20120410,305,ZEE MARATHI ASIA,Fiction,118,NULL,33:30.5,71
20120410,305,ZEE MARATHI ASIA,Market Share,28,NULL,33:30.5,71
20120410,305,ZEE MARATHI ASIA,Movies / Events,37,NULL,33:30.5,71
20120410,305,ZEE MARATHI ASIA,Non-Fiction,63,NULL,33:30.5,71
20120410,316,ZEE TV ASIA,Fiction,170,NULL,33:30.5,71
20120410,316,ZEE TV ASIA,Market Share,21.3,NULL,33:30.5,71
20120410,316,ZEE TV ASIA,Movies / Events,14,NULL,33:30.5,71
20120410,316,ZEE TV ASIA,Non-Fiction,42,NULL,33:30.5,71
20120410,297,ZEE BANGLA ASIA,Fiction,215,NULL,33:30.5,71
20120410,297,ZEE BANGLA ASIA,Market Share,36,NULL,33:30.5,71
20120410,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20120410,297,ZEE BANGLA ASIA,Non-Fiction,165,NULL,33:30.5,71
20120410,300,ZEE CINEMA ASIA,Market Share,28,NULL,33:30.5,71
20120410,300,ZEE CINEMA ASIA,Movies / Events,135,NULL,33:30.5,71
20120510,305,ZEE MARATHI ASIA,Fiction,118,NULL,33:30.5,71
20120510,305,ZEE MARATHI ASIA,Market Share,28,NULL,33:30.5,71
20120510,305,ZEE MARATHI ASIA,Movies / Events,37,NULL,33:30.5,71
20120510,305,ZEE MARATHI ASIA,Non-Fiction,63,NULL,33:30.5,71
20120510,316,ZEE TV ASIA,Fiction,170,NULL,33:30.5,71
20120510,316,ZEE TV ASIA,Market Share,21.3,NULL,33:30.5,71
20120510,316,ZEE TV ASIA,Movies / Events,14,NULL,33:30.5,71
20120510,316,ZEE TV ASIA,Non-Fiction,42,NULL,33:30.5,71
20120510,297,ZEE BANGLA ASIA,Fiction,215,NULL,33:30.5,71
20120510,297,ZEE BANGLA ASIA,Market Share,36,NULL,33:30.5,71
20120510,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20120510,297,ZEE BANGLA ASIA,Non-Fiction,165,NULL,33:30.5,71
20120510,300,ZEE CINEMA ASIA,Market Share,28,NULL,33:30.5,71
20120510,300,ZEE CINEMA ASIA,Movies / Events,135,NULL,33:30.5,71
20120610,305,ZEE MARATHI ASIA,Fiction,118,NULL,33:30.5,71
20120610,305,ZEE MARATHI ASIA,Market Share,28,NULL,33:30.5,71
20120610,305,ZEE MARATHI ASIA,Movies / Events,37,NULL,33:30.5,71
20120610,305,ZEE MARATHI ASIA,Non-Fiction,63,NULL,33:30.5,71
20120610,316,ZEE TV ASIA,Fiction,207,NULL,33:30.5,71
20120610,316,ZEE TV ASIA,Market Share,21.3,NULL,33:30.5,71
20120610,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20120610,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20120610,297,ZEE BANGLA ASIA,Fiction,215,NULL,33:30.5,71
20120610,297,ZEE BANGLA ASIA,Market Share,36,NULL,33:30.5,71
20120610,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20120610,297,ZEE BANGLA ASIA,Non-Fiction,165,NULL,33:30.5,71
20120610,300,ZEE CINEMA ASIA,Market Share,28,NULL,33:30.5,71
20120610,300,ZEE CINEMA ASIA,Movies / Events,135,NULL,33:30.5,71
20120710,305,ZEE MARATHI ASIA,Fiction,126,NULL,33:30.5,71
20120710,305,ZEE MARATHI ASIA,Market Share,28,NULL,33:30.5,71
20120710,305,ZEE MARATHI ASIA,Movies / Events,38,NULL,33:30.5,71
20120710,305,ZEE MARATHI ASIA,Non-Fiction,64,NULL,33:30.5,71
20120710,316,ZEE TV ASIA,Fiction,207,NULL,33:30.5,71
20120710,316,ZEE TV ASIA,Market Share,24.6,NULL,33:30.5,71
20120710,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20120710,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20120710,297,ZEE BANGLA ASIA,Fiction,225,NULL,33:30.5,71
20120710,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20120710,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20120710,297,ZEE BANGLA ASIA,Non-Fiction,170,NULL,33:30.5,71
20120710,300,ZEE CINEMA ASIA,Market Share,31,NULL,33:30.5,71
20120710,300,ZEE CINEMA ASIA,Movies / Events,145,NULL,33:30.5,71
20120810,305,ZEE MARATHI ASIA,Fiction,126,NULL,33:30.5,71
20120810,305,ZEE MARATHI ASIA,Market Share,28,NULL,33:30.5,71
20120810,305,ZEE MARATHI ASIA,Movies / Events,38,NULL,33:30.5,71
20120810,305,ZEE MARATHI ASIA,Non-Fiction,64,NULL,33:30.5,71
20120810,316,ZEE TV ASIA,Fiction,207,NULL,33:30.5,71
20120810,316,ZEE TV ASIA,Market Share,24.6,NULL,33:30.5,71
20120810,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20120810,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20120810,297,ZEE BANGLA ASIA,Fiction,225,NULL,33:30.5,71
20120810,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20120810,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20120810,297,ZEE BANGLA ASIA,Non-Fiction,170,NULL,33:30.5,71
20120810,300,ZEE CINEMA ASIA,Market Share,31,NULL,33:30.5,71
20120810,300,ZEE CINEMA ASIA,Movies / Events,145,NULL,33:30.5,71
20120910,305,ZEE MARATHI ASIA,Fiction,126,NULL,33:30.5,71
20120910,305,ZEE MARATHI ASIA,Market Share,28,NULL,33:30.5,71
20120910,305,ZEE MARATHI ASIA,Movies / Events,38,NULL,33:30.5,71
20120910,305,ZEE MARATHI ASIA,Non-Fiction,64,NULL,33:30.5,71
20120910,316,ZEE TV ASIA,Fiction,214,NULL,33:30.5,71
20120910,316,ZEE TV ASIA,Market Share,24.6,NULL,33:30.5,71
20120910,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20120910,316,ZEE TV ASIA,Non-Fiction,45,NULL,33:30.5,71
20120910,297,ZEE BANGLA ASIA,Fiction,225,NULL,33:30.5,71
20120910,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20120910,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20120910,297,ZEE BANGLA ASIA,Non-Fiction,170,NULL,33:30.5,71
20120910,300,ZEE CINEMA ASIA,Market Share,31,NULL,33:30.5,71
20120910,300,ZEE CINEMA ASIA,Movies / Events,145,NULL,33:30.5,71
20121010,305,ZEE MARATHI ASIA,Fiction,153,NULL,33:30.5,71
20121010,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20121010,305,ZEE MARATHI ASIA,Movies / Events,36,NULL,33:30.5,71
20121010,305,ZEE MARATHI ASIA,Non-Fiction,38,NULL,33:30.5,71
20121010,316,ZEE TV ASIA,Fiction,214,NULL,33:30.5,71
20121010,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20121010,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20121010,316,ZEE TV ASIA,Non-Fiction,45,NULL,33:30.5,71
20121010,297,ZEE BANGLA ASIA,Fiction,235,NULL,33:30.5,71
20121010,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20121010,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20121010,297,ZEE BANGLA ASIA,Non-Fiction,180,NULL,33:30.5,71
20121010,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20121010,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
20121110,305,ZEE MARATHI ASIA,Fiction,153,NULL,33:30.5,71
20121110,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20121110,305,ZEE MARATHI ASIA,Movies / Events,36,NULL,33:30.5,71
20121110,305,ZEE MARATHI ASIA,Non-Fiction,38,NULL,33:30.5,71
20121110,316,ZEE TV ASIA,Fiction,214,NULL,33:30.5,71
20121110,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20121110,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20121110,316,ZEE TV ASIA,Non-Fiction,45,NULL,33:30.5,71
20121110,297,ZEE BANGLA ASIA,Fiction,235,NULL,33:30.5,71
20121110,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20121110,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20121110,297,ZEE BANGLA ASIA,Non-Fiction,180,NULL,33:30.5,71
20121110,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20121110,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
20121210,305,ZEE MARATHI ASIA,Fiction,153,NULL,33:30.5,71
20121210,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20121210,305,ZEE MARATHI ASIA,Movies / Events,36,NULL,33:30.5,71
20121210,305,ZEE MARATHI ASIA,Non-Fiction,38,NULL,33:30.5,71
20121210,316,ZEE TV ASIA,Fiction,216,NULL,33:30.5,71
20121210,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20121210,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20121210,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20121210,297,ZEE BANGLA ASIA,Fiction,235,NULL,33:30.5,71
20121210,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20121210,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20121210,297,ZEE BANGLA ASIA,Non-Fiction,180,NULL,33:30.5,71
20121210,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20121210,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
20130110,305,ZEE MARATHI ASIA,Fiction,154,NULL,33:30.5,71
20130110,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20130110,305,ZEE MARATHI ASIA,Movies / Events,40,NULL,33:30.5,71
20130110,305,ZEE MARATHI ASIA,Non-Fiction,39,NULL,33:30.5,71
20130110,316,ZEE TV ASIA,Fiction,216,NULL,33:30.5,71
20130110,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20130110,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20130110,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20130110,297,ZEE BANGLA ASIA,Fiction,245,NULL,33:30.5,71
20130110,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20130110,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20130110,297,ZEE BANGLA ASIA,Non-Fiction,185,NULL,33:30.5,71
20130110,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20130110,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
20130210,305,ZEE MARATHI ASIA,Fiction,154,NULL,33:30.5,71
20130210,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20130210,305,ZEE MARATHI ASIA,Movies / Events,40,NULL,33:30.5,71
20130210,305,ZEE MARATHI ASIA,Non-Fiction,39,NULL,33:30.5,71
20130210,316,ZEE TV ASIA,Fiction,216,NULL,33:30.5,71
20130210,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20130210,316,ZEE TV ASIA,Movies / Events,11,NULL,33:30.5,71
20130210,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20130210,297,ZEE BANGLA ASIA,Fiction,245,NULL,33:30.5,71
20130210,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20130210,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20130210,297,ZEE BANGLA ASIA,Non-Fiction,185,NULL,33:30.5,71
20130210,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20130210,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Fiction,154,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Market Share,29,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Movies / Events,40,NULL,33:30.5,71
20130310,305,ZEE MARATHI ASIA,Non-Fiction,39,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Fiction,202,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Market Share,25.4,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Movies / Events,12,NULL,33:30.5,71
20130310,316,ZEE TV ASIA,Non-Fiction,43,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Fiction,245,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Market Share,38,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Movies / Events,35,NULL,33:30.5,71
20130310,297,ZEE BANGLA ASIA,Non-Fiction,185,NULL,33:30.5,71
20130310,300,ZEE CINEMA ASIA,Market Share,30,NULL,33:30.5,71
20130310,300,ZEE CINEMA ASIA,Movies / Events,140,NULL,33:30.5,71
